symbol,deposit_apy,hour
WETH,0.001840647198382936,2021-02-20 14:00:00.000 UTC
WETH,0.0018370834563197918,2021-02-20 15:00:00.000 UTC
WETH,0.0018411597614255313,2021-02-20 16:00:00.000 UTC
WETH,0.002070350498704408,2021-02-20 17:00:00.000 UTC
WETH,0.0019467015540717166,2021-02-20 18:00:00.000 UTC
WETH,0.0017643917658758594,2021-02-20 19:00:00.000 UTC
WETH,0.0017539794773228782,2021-02-20 20:00:00.000 UTC
WETH,0.001766907946227779,2021-02-20 21:00:00.000 UTC
WETH,0.001780805273477246,2021-02-20 22:00:00.000 UTC
WETH,0.001786313565318556,2021-02-20 23:00:00.000 UTC
WETH,0.0017948583255363738,2021-02-21 00:00:00.000 UTC
WETH,0.0017981085037526616,2021-02-21 01:00:00.000 UTC
WETH,0.001823158218010962,2021-02-21 02:00:00.000 UTC
WETH,0.0018230247572756009,2021-02-21 03:00:00.000 UTC
WETH,0.0018261948686490847,2021-02-21 04:00:00.000 UTC
WETH,0.001826566698421816,2021-02-21 05:00:00.000 UTC
WETH,0.0019325420444937882,2021-02-21 06:00:00.000 UTC
WETH,0.0019398461442728305,2021-02-21 07:00:00.000 UTC
WETH,0.0019074587691280103,2021-02-21 08:00:00.000 UTC
WETH,0.002301226815125669,2021-02-21 09:00:00.000 UTC
WETH,0.0025216548312616545,2021-02-21 10:00:00.000 UTC
WETH,0.0025236569830356676,2021-02-21 11:00:00.000 UTC
WETH,0.0026087929309944326,2021-02-21 12:00:00.000 UTC
WETH,0.0026680017580574715,2021-02-21 13:00:00.000 UTC
WETH,0.0026422668818761453,2021-02-21 14:00:00.000 UTC
WETH,0.0026407957139157295,2021-02-21 15:00:00.000 UTC
WETH,0.0026177700401468183,2021-02-21 16:00:00.000 UTC
WETH,0.002575931471408387,2021-02-21 17:00:00.000 UTC
WETH,0.002585710948079936,2021-02-21 18:00:00.000 UTC
WETH,0.002581928463507938,2021-02-21 19:00:00.000 UTC
WETH,0.002578991615327579,2021-02-21 20:00:00.000 UTC
WETH,0.0025834182371180315,2021-02-21 21:00:00.000 UTC
