Draw id, Number of Tiers, apr, Total Yield Amount Out (usd), Total Liquidation Amount In (usd), Total Contrib (usd), Hook contrib (usd), POOL Vault Contrib. (usd), Start Draw Reward, Finish Draw Reward, tier0LiquidityRemaining, tier1LiquidityRemaining, tier2LiquidityRemaining, tier3LiquidityRemaining, tier4LiquidityRemaining, tier5LiquidityRemaining, tier6LiquidityRemaining, tier7LiquidityRemaining, tier8LiquidityRemaining, tier9LiquidityRemaining, tier10LiquidityRemaining, tier0PrizeSizes, tier1PrizeSizes, tier2PrizeSizes, tier3PrizeSizes, tier4PrizeSizes, tier5PrizeSizes, tier6PrizeSizes, tier7PrizeSizes, tier8PrizeSizes, tier9PrizeSizes, tier10PrizeSizes, tier0PrizeSizesUsd, tier1PrizeSizesUsd, tier2PrizeSizesUsd, tier3PrizeSizesUsd, tier4PrizeSizesUsd, tier5PrizeSizesUsd, tier6PrizeSizesUsd, tier7PrizeSizesUsd, tier8PrizeSizesUsd, tier9PrizeSizesUsd, tier10PrizeSizesUsd, tier0ClaimedPrizes, tier1ClaimedPrizes, tier2ClaimedPrizes, tier3ClaimedPrizes, tier4ClaimedPrizes, tier5ClaimedPrizes, tier6ClaimedPrizes, tier7ClaimedPrizes, tier8ClaimedPrizes, tier9ClaimedPrizes, tier10ClaimedPrizes, tier0ComputedPrizes, tier1ComputedPrizes, tier2ComputedPrizes, tier3ComputedPrizes, tier4ComputedPrizes, tier5ComputedPrizes, tier6ComputedPrizes, tier7ComputedPrizes, tier8ComputedPrizes, tier9ComputedPrizes, tier10ComputedPrizes
11,6,100000000000000000,$1099.326 USD,$999.886 USD,$1497.283 USD, $374.386 USD, $123.010 USD,333578275435159,17790841356544,17268183411735156800,10845040429939969600,1947187833144717200,195598639717629600,4212331965265768,4212331965265768,0,0,0,0,0,8634091705867578400,1355630053742496200,60849619785772412,1528114372793981,8227210869659,2056802717414,0,0,0,0,0,$28492.502 USD,$4473.579 USD,$200.803 USD,$5.042 USD,$0.027 USD,$0.006 USD,,,,,,0,0,0,43,193,0,0,0,0,0,0,0,0,0,43,193,779,0,0,0,0,0
12,6,100000000000000000,$1099.627 USD,$999.886 USD,$1394.325 USD, $291.343 USD, $103.095 USD,232609404707302,12405834917725,17366094267349873300,10942951285554686100,1984249068973661200,200294518591912100,3916434224588660,3916434224588660,0,0,0,0,0,8683047133674936650,1367868910694335762,62007783405426912,1564800926499313,7649285594899,1912321398724,0,0,0,0,0,$28654.055 USD,$4513.967 USD,$204.625 USD,$5.163 USD,$0.025 USD,$0.006 USD,,,,,,0,0,0,41,175,0,0,0,0,0,0,0,0,0,41,175,838,0,0,0,0,0
13,6,100000000000000000,$1099.929 USD,$999.886 USD,$1183.593 USD, $87.583 USD, $96.123 USD,148395104909529,7914405595177,17449378327218436100,11026235345423248900,2067533128842224000,192820124723509700,3331362394742512,3331362394742512,0,0,0,0,0,8724689163609218050,1378279418177906112,64610410276319500,1506407224402419,6506567177231,1626641794307,0,0,0,0,0,$28791.474 USD,$4548.322 USD,$213.214 USD,$4.971 USD,$0.021 USD,$0.005 USD,,,,,,0,0,0,59,223,0,0,0,0,0,0,0,0,0,59,223,947,0,0,0,0,0
14,6,100000000000000000,$1100.230 USD,$999.886 USD,$1324.764 USD, $242.942 USD, $81.935 USD,124035662487807,6615235332685,17542195346996093000,11119052365200905800,2095739738343561400,187720674915004100,3712680791106276,3712680791106276,0,0,0,0,0,8771097673498046500,1389881545650113225,65491866823236293,1466567772773469,7251329670129,1812832417532,0,0,0,0,0,$28944.622 USD,$4586.609 USD,$216.123 USD,$4.839 USD,$0.023 USD,$0.005 USD,,,,,,0,0,0,60,209,0,0,0,0,0,0,0,0,0,60,209,800,0,0,0,0,0
15,6,100000000000000000,$1100.532 USD,$999.886 USD,$1163.788 USD, $72.444 USD, $91.457 USD,81971333875665,4371804473370,17623981878008623800,11200838896213436600,2177526269356092200,159514622969522400,3271461240501232,3271461240501232,0,0,0,0,0,8811990939004311900,1400104862026679575,68047695917377881,1246207991949393,6389572735353,1597393183838,0,0,0,0,0,$29079.570 USD,$4620.346 USD,$224.557 USD,$4.112 USD,$0.021 USD,$0.005 USD,,,,,,0,0,2,65,243,0,0,0,0,0,0,0,0,2,65,243,959,0,0,0,0,0
16,6,100000000000000000,$1100.833 USD,$999.886 USD,$1550.166 USD, $469.596 USD, $80.683 USD,81460136414766,4344540608789,17732350526057827900,11309207544262640700,2013704133735784700,180648711582268500,4334745921968164,4334745921968164,0,0,0,0,0,8866175263028913950,1413650943032830087,62928254179243271,1411318059236472,8466300628844,2116575157211,0,0,0,0,0,$29258.378 USD,$4665.048 USD,$207.663 USD,$4.657 USD,$0.027 USD,$0.006 USD,,,,,,0,0,0,34,161,0,0,0,0,0,0,0,0,0,34,161,703,0,0,0,0,0
17,6,100000000000000000,$1101.135 USD,$999.886 USD,$1421.337 USD, $314.449 USD, $107.001 USD,56304910085168,4003904717169,17832222475750194300,11409079493955007100,2050647829248907800,200075531898154400,3994877987694656,3994877987694656,0,0,0,0,0,8916111237875097150,1426134936744375887,64082744664028368,1563090092954331,7802496069716,1950624017429,0,0,0,0,0,$29423.167 USD,$4706.245 USD,$211.473 USD,$5.158 USD,$0.025 USD,$0.006 USD,,,,,,0,0,1,47,207,0,0,0,0,0,0,0,0,1,47,207,768,0,0,0,0,0
18,6,100000000000000000,$1101.437 USD,$999.886 USD,$1170.620 USD, $72.059 USD, $98.674 USD,34821575056743,250330419538449,17914576420536775900,11491433438741588700,2068919029371461000,187080981014517600,3294157791463264,3294157791463264,0,0,0,0,0,8957288210268387950,1436429179842698587,64653719667858156,1461570164175918,6433901936451,1608475484112,0,0,0,0,0,$29559.051 USD,$4740.216 USD,$213.357 USD,$4.823 USD,$0.021 USD,$0.005 USD,,,,,,0,0,1,66,237,0,0,0,0,0,0,0,0,1,66,237,964,0,0,0,0,0
19,6,100000000000000000,$1101.738 USD,$999.886 USD,$1104.532 USD, $24.056 USD, $80.589 USD,24594024834879,176805114215012,17992130445018462700,11568987463223275500,2081819334185289600,160863523839708400,3102160979267472,3102160979267472,0,0,0,0,0,8996065222509231350,1446123432902909437,65056854193290300,1256746279997721,6058908162631,1514727040657,0,0,0,0,0,$29687.015 USD,$4772.207 USD,$214.687 USD,$4.147 USD,$0.019 USD,$0.004 USD,,,,,,0,0,0,74,263,0,0,0,0,0,0,0,0,0,74,263,1012,0,0,0,0,0
20,6,100000000000000000,$1102.040 USD,$999.886 USD,$1084.274 USD, $8.274 USD, $76.113 USD,18090169978514,130049253454606,18068190409166168100,11645047427370980900,2157879298332995000,141410770707581000,3042398565908216,3042398565908216,0,0,0,0,0,9034095204583084050,1455630928421372612,67433728072906093,1104771646152976,5942184699039,1485546174759,0,0,0,0,0,$29812.514 USD,$4803.582 USD,$222.531 USD,$3.645 USD,$0.019 USD,$0.004 USD,,,,,,0,0,1,67,281,0,0,0,0,0,0,0,0,1,67,281,1018,0,0,0,0,0
